[00:00] 用声音，[00:01] 碰撞世界。
[00:03] 生动活泼。
[03:36] 星巴克中国CEO刘文娟表示，
[03:39] 星巴克目前在中国覆盖了1000多个
[03:41] 县级行政区，未来三年将会扩展到1500个。
[03:45] 同时在已有城市继续拓展新的商圈，
[03:48] 用多样的门店形态灵活开店，
[03:51] 比如10平米的迷你店和办公楼里的
[03:54] 模块化小店。
[03:56] 另外店员将会获得更多的自主权，
[03:58] 可以定制门店音乐播放列表，组织社区活动，
[04:02] 自创的特色饮品也有机会进入电子菜单。
[04:05] 界面分析认为，更加灵活的门店组合
[04:08] 本质上是在为2万家门店的目标寻找更多的场景。
[04:12] 另一方面，他们也能让星巴克的单店模型更轻，
[04:15] 提升门店效率和投资回报。
[04:19] 迪士尼计划裁员大约1000人。
[04:22] 根据华尔街日报4月8号的报道，
[04:24] 迪士尼计划在未来的几周内裁员1000人左右。
[04:28] 这次裁员的大部分岗位将会集中在
[04:31] 营销部门，尽管这是新的CEO Josh
[04:34] D'Amaro上任之后首次裁员，
[04:36] 但是裁员计划在他上任之前就
[04:38] 已经启动。
[04:39] 华尔街日报认为，最近几年流媒体的利润
[04:42] 远低于传统电视，电影票房也在收缩，
[04:45] 迪士尼已经裁员超过8000人。
[04:48] 不过截止到2025财年，迪士尼有超过
[04:51] 23万名员工，其中八成在主题乐园和
[04:54] 消费品等体验业务部门工作。
[04:56] 而裁员主要发生在娱乐、ESPN和公司的
[05:00] 职能部门。
[05:01] 另外裁员也已经成为了好莱坞的行业常态，
[05:04] 索尼影业、派拉蒙和华纳兄弟也都在削减人员。
[05:09] 如果派拉蒙后序完成了对华纳的收购，
[05:11] 可能还会有更多的裁员发生。
[05:14] 那以上就是我们编辑部为你整理的最近的
[05:17] 几条商业科技动态，在走近到今天的咖啡豆
[05:20] 回复时间之前，还想要继续和你来分享
[05:22] 我们早咖啡小红书又更新了面试锦囊系列
[05:26] 的第三集。
[05:27] 在面试中，批判性思维往往很重要，
[05:30] 你能不能快速的抓住问题的重点，
[05:32] 分清事实和观点，并且在有限的时间里
[05:35] 给出一个有依据的判断，这些都会影响着
[05:38] 你的现场表现。
[05:40] 在我们这期的小红书笔记里，
[05:41] 我们会结合早咖啡之前讲过的商业案例，
[05:44] 尝试来拆解如何理清事实，
[05:46] 如何基于事实形成更好的判断。
[05:49] 希望这些内容能够帮助你在面试当中
[05:52] 更有逻辑，也更从容的表达自己。
[05:55] 欢迎大家前往小红书去搜索生动早咖啡，
[05:58] 生是声音的声，好了，下面就一起走近
[06:01] 到今天的咖啡豆回复时间吧。
[06:13] 欢迎来到这周五的咖啡豆回复时间，
[06:15] 我们的听友Popi发现，
[06:18] 米高梅电影制片厂的标志性logo，
[06:20] 一只咆哮的狮子，似乎已经很长时间没能看到了。
[06:24] 为什么狮吼logo如此经典，但是除了
[06:26] 最近上映的《挽救计划》，
[06:28] 自己好像很难想得到他们的其他代表作呢？
[06:32] 实际上米高梅的巅峰期，基本上和
[06:35] 好莱坞的黄金时代是重合的。
[06:38] 19世纪90年代，美国电影业在纽约诞生，
[06:42] 对于当时的城市工人和外来移民来说，
[06:45] 观看无声电影是一种便宜，
[06:47] 而且门槛较低的娱乐方式。
[06:50] 不过发明家爱迪生随后成立了一家电影
[06:53] 专利公司，统一管理放映机、摄影机，
[06:56] 还有胶片等等多个领域的专利。
[06:59] 向电影制片厂、发行商以及影院经营方
[07:03] 发放授权，收取专利使用费。
[07:06] 那些不愿和它合作的公司，往往要面临着
[07:10] 法律诉讼以及在片场出现的不速之客。
[07:13] 这些也推动了一大批电影从业者搬去
[07:16] 爱迪生势力范围之外的加州。
[07:19] 同时加州的天气也更好，全年都可以进行
[07:22] 户外拍摄，节省照明费用。
[07:24] 自然景观也更多样，无需前往海外，
[07:27] 也同样能够营造出类似的效果。
[07:29] 而且美国西部的土地、人工等等成本
[07:32] 还都要远远的低于纽约。
[07:35] 米高梅就是这样的背景之下成立的。
[07:38] 1924年，院线集团Loew's
[07:40] 下的制片部门与另外两家制片公司合并，
[07:43] 形成了Metro-Goldwyn-Mayer，
[07:45] 米高梅。
[07:47] 电影史学家Steven Bingen指出，
[07:49] 这次合并主要是为了整合资源，
[07:51] 打造出更加优质的电影。
[07:53] 具体来说，Metro的母公司是当时全美
[07:56] 规模最大的连锁影院集团，
[07:58] Goldwyn则拥有大面积的拍摄基地，
[08:01] 和先进的制片设施，而Mayer的老板
[08:04] 具备管理能力，真正负责合并之后的
[08:06] 公司运作。
[08:08] 另外1927年有声电影的出现，
[08:11] 更是对拍摄、制作以及放映的技术设施，
[08:15] 提出了更高的新要求。
[08:17] 而好莱坞的制片长体系也由此逐步形成，
[08:20] 同一家制片厂掌握从拍摄到放映的
[08:23] 整条电影供应链，放映影片的利润
[08:26] 又回流到制作环节，再为电影院制作
[08:29] 更多的影片，而各家制片厂还会培养和
[08:32] 包装自家的签约演员，给他们发放固定工资。
[08:37] 五大传统制片厂之一的米高梅，
[08:39] 更是这种模式的典型代表。
[08:41] 根据记载，米高梅一度被誉为拥有的明星
[08:44] 比天上的星星还要多。
[08:46] 乱世佳人的主演克拉克·盖博，
[08:49] 大饭店的主演格丽泰·嘉宝，
[08:51] 以及绿野仙踪的主演朱迪·嘉兰等等，
[08:54] 都曾经是米高梅的签约演员。
[08:57] 他们还和一众导演、编剧等等电影人才
[09:00] 签署了独家合同，拥有了大量的人手。
[09:03] 加上米高梅最操盘手Louis
[09:05] Mayer的推动，米高梅开始进军
[09:08] 音乐剧电影，推出了《雨中曲》等等
[09:11] 系列代表作。
[09:12] 1925年米高梅运营的第一年，
[09:14] 他们的利润就已经突破了470万美元。
[09:18] 1929年美国大萧条来临时，
[09:20] 派拉蒙、福克斯等等对手，都陷入破产境地。
[09:24] 米高梅的利润却仍然保持翻倍增长。
[09:28] 1944年米高梅成立20周年的时候，
[09:31] 他们的核心制片区域的发电设备，
[09:33] 足以满足一个2.5万人口城市的
[09:35] 用电需求。
[09:36] 化妆部门每个小时，能够为2700名
[09:39] 群众演员化妆，服装部门则每天要服务
[09:43] 5000人的换装。
[09:44] 不过在上世纪3、40年代短暂成为好莱坞
[09:48] 的领跑者之后，米高梅基本上就只在
[09:51] 电影市场里扮演着小玩家的角色，
[09:53] 占据的分额通常还不到5%。
[09:56] 那么走上巅峰的米高梅，为什么会
[09:58] 一路下滑呢？
[10:01] 原因之一，好莱坞制片长体系的消亡。
[10:05] 1948年5月，美国最高法院裁定，
[10:08] 好莱坞五大制片厂们对于制作、发行
[10:11] 还有放映环节的绝对控制权构成垄断，
[10:14] 要求制片长剥离院线业务。
[10:17] 这也就是所谓的派拉蒙法案，
[10:19] 判决认为小公司如果想要借用
[10:21] 大制片厂的演员或者是导演，
[10:23] 不仅需要征求同意，还要支付高昂的费用。
[10:27] 制片长的独家合同被禁止。
[10:29] 权力重心从过去的制片人转移到了导演
[10:33] 和明星身上。
[10:34] 制片长原本只要源源不断发布新片，
[10:37] 就能赚钱的模式也彻底失效，
[10:38] 他们也无法再依靠自己控制的电影院，
[10:41] 稳赚不赔了。
[10:43] 行业普遍认为，派拉蒙法案宣告了好莱坞
[10:47] 黄金时代的终结。
[10:48] 对于米高梅来说，他们那些庞大的
[10:51] 地产投资，高昂的运营成本，
[10:54] 以及复杂的人力投入，一下子都成为了
[10:56] 沉重的负担。
[10:57] 制片长也无法再像过去一样全年选址的
[11:00] 供养一批固定的制片团队。
[11:03] 尽管美国司法部后来在2020年正式
[11:05] 废止了派拉蒙法案，原因是由于在各种
[11:08] 新兴娱乐形式的竞争之下，法案已经和
[11:11] 市场脱节。
[11:12] 但是对于米高梅来说，早在上个世纪，
[11:15] 电视就给他们造成了巨大的冲击。
[11:18] 1949年电影界的奥斯卡，艾美奖首次颁发。
[11:22] 它标志着电视时代的到来。
[11:25] 美国的观影人次也在不断的下降，
[11:27] 当其他的大型制片厂都在积极制作
[11:30] 电视节目，将自己的经典作品授权给电视台时，
[11:33] 米高梅却在经历着内部的权力斗争。
[11:36] 根据洛杉矶时报的报道，1951年，
[11:39] 离开米高梅，职业经理人开始接手。
[11:43] 尽管新的掌舵人更加擅长控制成本，
[11:46] 但是他并也不了解如何把控内容质量。
[11:51] 原因之二，米高梅内部控制权的频繁更迭。
[11:55] 持续的经营恶化之下，1969年，
[11:58] 拉斯维加斯的房地产大亨，
[12:00] 买下了米高梅制片厂。
[12:03] 行业媒体认为，Kirk他其实并不关心艺术，
[12:06] 也不在乎电影业的发展，他主要看重的是
[12:10] 米高梅的品牌价值。
[12:11] 为了应对债务并且筹钱发展新业务，
[12:14] 他开始出售米高梅的资产，
[12:16] 包括在美国以外地区的电影院，
[12:18] 以及拍摄基地等等。
[12:20] 1970年米高梅还举办了一场拍卖活动，
[12:23] 出售制片场在过去50年的时间里所积累下来的
[12:27] 众多电影服装和道具。
[12:29] 随后这位房地产大亨还卖掉了米高梅的
[12:31] 发行业务，米高梅也由此成为了好莱坞
[12:34] 唯一一家无力发行自家作品的大型电影公司。
[12:40] 1973年，Kirk在拉斯维加斯开出了
[12:43] 当时世界上最大的酒店MGM
[12:45] Grand Hotel，和制片长一样采用了
[12:48] MGM的英文名字，但是在中文世界里，
[12:51] MGM酒店通常被翻译成为了美高梅酒店。
[12:55] 酒店内除了随处可见的狮子标志，
[12:58] 他们的墙上还悬挂着大量米高梅明星的
[13:01] 照片。
[13:02] 礼品店甚至还继续售卖着此前在拍卖会上，
[13:05] 还没卖出去的古早电影道具。
[13:07] 1980年Kirk将电影资产和酒店资产
[13:11] 分离。
[13:12] 尽管他后来曾经三次出售米高梅制片厂，
[13:15] 还失去了部分米高梅影片的版权，
[13:17] 但他一直都在设法保证自己能够使用
[13:20] 经典的狮子Logo。
[13:22] 只是公司的反复变动，导致了米高梅难以
[13:25] 像过去一样吸引到优秀的影视人才了。
[13:27] 但是电影史学家Steven Bingen认为，
[13:30] 尽管米高梅出品电影的关注度在持续的萎缩，
[13:33] 但是得益于酒店的存在，狮吼logo也一直
[13:37] 都被大众所熟悉。
[13:39] 2022年，亚马逊以850亿美元的价格
[13:42] 收购了米高梅制片厂。
[13:45] 贝索斯在当时表示，他们主要看重的是
[13:47] 米高梅所拥有的IP，其中就包括007系列
[13:51] 以及已经买下的《挽救计划》原著等等。
[13:54] 不过直到2025年，亚马逊米高梅影业
[13:57] 才与其掌握了007詹姆斯邦德IP的
[13:59] Broccoli家族达成一致，这得已重新
[14:02] 开始操刀这个系列。
[14:04] 也同样是在去年他们重新确定了院线策略，
[14:07] 承诺每年将会制作14部电影。
[14:11] 洛杉矶时报认为，流媒体公司想要涉及院线，
[14:15] 总是会引发质疑，在电影票房持续下滑的今天，
[14:18] 亚马逊米高梅的表现仍然有待观察。
[14:22] 你对哪些带有狮吼logo的影片有印象呢？
[14:25] 在家看电影和去电影院看电影，
[14:27] 你的偏好又会是什么呢？
[14:29] 欢迎在我们的评论区和我们一块来聊聊。
[14:33] 这就是我们今天的节目啦，
[14:35] 我们其他的成员还有：
[14:37] 监制：则霖
[14:38] 监制：Stella
[14:39] 声音设计：庆明
[14:40] 商业内容策划：如雪
[14:41] 营销内容策划：贝贝
[14:43] 感谢收听生动早咖啡，那我们就
[14:46] 下期再见。
